"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","N (# obs)"
"Alachua","28 Mar 2000","65.12","55.29","75.90","65","0.03","0.01","280.79","96"
"Alachua","29 Mar 2000","68.51","51.13","84.18","65","0.00","0.00","262.69","96"
"Alachua","30 Mar 2000","68.67","60.13","79.16","89","0.01","0.01","82.68","96"
"Alachua","31 Mar 2000","68.21","60.67","76.21","86","0.00","0.00","151.37","96"
"Alachua","1 Apr 2000","69.20","60.24","79.16","79","0.00","0.00","223.62","96"
"Alachua","2 Apr 2000","71.99","62.20","82.44","74","0.00","0.00","221.70","96"
"Alachua","3 Apr 2000","72.04","64.36","80.20","70","0.00","0.00","245.43","96"
"Alachua","4 Apr 2000","65.47","52.66","71.04","71","0.06","0.04","149.89","96"
"Alachua","5 Apr 2000","53.28","40.45","67.14","53","0.00","0.00","303.93","96"
"Alachua","6 Apr 2000","57.77","38.16","75.88","64","0.00","0.00","288.65","96"
"Alachua","7 Apr 2000","62.29","46.04","77.97","69","0.00","0.00","260.21","96"
"Alachua","8 Apr 2000","62.22","48.31","78.04","73","0.14","0.06","205.09","96"
"Alachua","9 Apr 2000","52.46","38.93","68.29","53","0.00","0.00","309.84","96"
"Alachua","10 Apr 2000","58.30","34.90","75.22","61","0.00","0.00","294.25","96"
"Alachua","11 Apr 2000","65.93","48.79","79.09","68","0.00","0.00","240.69","96"
"Alachua","12 Apr 2000","68.94","55.56","82.15","68","0.00","0.00","236.66","96"
"Alachua","13 Apr 2000","67.51","54.82","81.70","76","0.00","0.00","205.23","96"
"Alachua","14 Apr 2000","57.34","55.22","62.15","95","0.56","0.08","56.33","96"
"Alachua","15 Apr 2000","62.92","54.59","77.27","89","0.04","0.02","185.39","96"
"Alachua","16 Apr 2000","69.39","57.94","84.06","76","0.00","0.00","267.99","96"
"Alachua","17 Apr 2000","70.55","59.54","81.72","73","0.00","0.00","278.16","96"
"Alachua","18 Apr 2000","67.67","57.96","76.91","66","0.00","0.00","309.61","96"
"Alachua","19 Apr 2000","66.99","50.43","82.29","70","0.00","0.00","308.15","96"
"Alachua","20 Apr 2000","69.93","52.95","85.17","68","0.00","0.00","289.19","96"
"Alachua","21 Apr 2000","70.64","61.50","80.35","75","0.00","0.00","248.48","96"
"Alachua","22 Apr 2000","62.64","51.04","75.60","58","0.00","0.00","312.22","96"
